CIL number,page,Inscription
5092,19,"amoris ignes si sentires, mulio, magis properares, ut videres venerem. diligo iuvenem, venustum; rogo, punge, iamus. bibisti: iamus, prende lora et excute, Pompeios defer, ubi dulcis est amor meus es..."
1796,20,"amplexus teneros hac si quis quaerit in urbe, expectat ceras nulla puella viri"
2146,21,vibius Restitutus hic solus dormivit et Urbanam suam desiderabat
10241,21,Primigenae Nucerinae salutem / vellem essem gemma ora non amplius una ut tibi signanti oscula pressa darem
,22,"felicem somnum qui tecum nocte quiescet? hoc ego sic facere, multo felicior esse"
2483,24,Mansuetus provacator victor Veneri permam feret
4007,24,"tu, pupa, sic valeas, sic habeas Venere Pompeianam propytia MUNN... "
538,25,abiat Venere Bompeiiana iratam qui hoc laesaerit
1410,25,"Venus enim plagiaria est; quia exsanguni meum petit, in vies tumultu pariet: optet sibi, ut bene naviget, quod et Ario sua rogat"
1839,27,Agato Herrenni servus rogat Venere ut periat rogo
1824,27,"quisquis amat, veniat. Veneri volo frangere costas fustibus et lumbos debilitare deae. si postest illa mihi tenerum pertundere pectus quit ego non possim caput illae frangere fuste?"
3691,29,non ego tam duco Venere de marmore factam secundam quam mihi ... 
1625,30,Venus es. Venus
6842,30,Si quis non vidi Venerem quam pinxit Apelles pupa mea aspiciat: talis et illa notet
2413h,33,"Cestilia, regina Pompeianoru, anima dulcis, vale"
9171,33,"sic tibi contingat semper florere, Sabina; contignant formae sisque puella diu"
1234,34,pupa quae bella es tibi me misit qui tuus est. vale
8807a,35,Ceio et multis pupa venusta
,35,omnia formonsis cupio donare puellis set mihi de populo nulla placet
1780,36,"quid faciam vobis, ocilli lusci"
1970,36,"noete, lumen, vale, vle, usque vale"
8177,36,"..ae dulcissimae amantissimaeque ...que salurem, ave"
1928,37,"scribenti mii dictat Amor mostratque Cupido: ad peream, sine te si deus esse velim"
1860,37,"Quoi scrpisi semel et legit, mea iure puellast. quae pretium dixit, non mea sed populi est."
8364,39,"Secundus Prime suae ubique isse salute. Rogo, domna, ut me ames"
2414,40,"Propero. Vale, mea Sava; fac me ames"
10234,40,"amo te, Facilis; fac mi copia"
2015,40,Isthmus Successe ubique salute et quod te rogavi ut quod u iurasti
6865,41,"...ae nostrae feliciter. Perpetuo rogo, domna; per Venerem Fisicam te rogo no me ... us. Habeto mei memoriam"
8824,42,"Valens, domina. Valens, domina essem. salutem rogamus"
1684,42,Victoriae suae salute. Zosimus Victoriae salutem. rogo te up mihi sucuras etati maeae. si putas me aes non haberae noli amare me
1893,43,"surda sit oranti tua ianua, laxa ferenti. audiat exclusi verba receptus amans"
1894,43,"ianitor ad dantis vigilet; si pulsat inanis, surdus in obductam somniet usque seram"
7086,44,Marcus Spedusa amat
4637,44,Carnelia Helena amatur ab Rufo
2060,45,Romula hic cum Staphylo moratur
4066,46,Daphnicus cum Felicla sua hic
4087,46,Staphylus hic cum Quieta
5358,46,Secundus cum Primigenia conveniunt
6818,46,Modestus cum Albana
8792a,47,Antiochus hic mansit cum sua Cithera
,47,Epaphroditus cum Thalia hac
5094,49,Primigenenius Successe salute. Vale mea pistilla
4447,49,Fonticulus Pisciculo suo plurma salute
3117,50,Serena Isidoru fastidit
346,50,"Marcum Cerrinium aedilem. alter amat, alter amatur, ego fastidi. qui fastidit, amat."
1593,51,"Livia Alexandro salute. si vales non multu curo, si ...icite .. adeo"
4491,52,"nunc est ira recens, nunc est discedere tempus. si dolor afuerit, crede, redibit amor"
1881,52,Virgula Tertio suo: indecens es
,53,"vasia quae rapui, quaeris, formosa puella; accipe quae rapui non ego solus; ama. quisquis amat valeat."
3149,55,militat omnes amans
,56,"venimus hoc cupidi, multo magis ire cupimus, set retinet nostros illa puella pedes"
9847,56,"candida me docuit nigras odisse puellas. odero si potero; si non, invitus, amabo"
,57,"occasionem nactus, non praetermisi"
6892,57,"quisquis amat nigra nigris carbonibus ardet; nigra cum video, mora libenter aedeo"
1883,58,nemo est bellus nisi qui amavit mulierem adulescentulus
1898,59,"quisquis amat, calidis non debet fontibus uti, nam nemo flammas ustus amare potest"
1950,59,quisquis amator erit Scythiae licet ambulet oris. nemo adeo ut feriat barbarus esse volet
1830,60,futuitur cunnus pilossus multo melius quam glaber seadem continet vaporem et eadem verrit mentulam
8408a,60,"amantes, ut apes, vita mellita exigunt"
4509,61,"quis amare vetat, quis custodit amantes nil est unicus"
1649,61,alliget his auras si quis obiurgat amantes / et vetet assiduas currere fontis aquas
4091,62,"quis amat valeat, pereat qui nescit amare / bis tanto pereat quisquis amare vetat"
5251,65,Restitutus multas decepit saepe puellas
8897,66,"Nymphe futua, Amomus futua, Perennis fututu"
2021,66,Dionysios qua hora vult livet chalare
8767,66,"Floronius binetas. miles legionis VII, his fuit neque mulieres scierunt nisi paucae et ses erunt"
2145,67,"Caius Valerius Venustus, miles chortis I praetoriae centuria Rufi, fututulor maximum"
2175,67,hic ego puellas multas futui
4239,68,"Fortunate, animula dulcis, perfututor, scribit qui novit"
5213,68,filius salax quot tu mulierorum difutuisti
4356,68,"Trax Celadus; retiarius Cresces, puparru dominus I..."
4397,69,suspirium puellarum Celadus Trax
4345,69,puellarum decus Celadus Trax
4353,69,Cresces retiarius Puparum nocturnarum mattinarum aliarum ser...atinus ... medicus
,70,Romula cum suo hic fellat et uubique
,71,Romula viros mille trecentos
2310b,71,Euplia hic cum hominibus bellis MM
1781,74,"mea vita meae deliciae, ludamus parumper: hunc lectum campum, me tibei equom esse putamus"
9246b,74,hic ego cum domina resulto clune peregi / tales sed versus scribere turpe fuit
794,75,lente impelle
4977,75,Quintio hic futuit ceventes et vidit qui doluit
4616,76,Chriseros cum Successo hic terna futuimus
4026,76,hic ego bis futui
1230,76,"Fortunatus futuet te inguine ceni vide, Anthusa"
4185,77,"Sabrina, felas: no belle faces"
2273,77,Murtis bene felas
2421,77,"Rufa, ita vale, quare bene felas"
10197,78,elinge puella. irrumanti manu polluenti nulli negant
10041d,78,Piramo cottidie linguo
1391,78,Veneria Maximo mentlam exmuccavit per vindemiam totam et relinquet utrumque ventre inane et os plenu ... 
5178,80,Corus cunnum lingit
4264,80,Iucundus cunnum lingit Rusticae
1578,81,Linge Laidi cunnum
1383,81,Isidorum aedilem oro vos faciatis optime cunulincet
4699,81,Isidorus verna Putiolanus cunnuliggeter
8898,82,"Tiopilus, canis, cunnu lingere noli puellis in muro"
2400,82,Satur noli cunnum lingere extra porta set intra porta. rogat te Arpogra ut sibi lingas mentula. At fellator quid ...
2217,83,fututa sum hic
2260,83,"Victor, valeas, qui bene futues"
8715b,84,Iucundus male chalat
1261,84,futuebatur inquam futuebatur civium romanorum attractis pedibus cunnus / in qua re nullae aliae vices erant nisissei dulcissimae et piissimae
2450,85,"ante diem XI kalendas Decembres Epapra, Acutus, Auctus ad locum duxserunt mulierem Tychen; pretium in ingulos asses V fuit. Marco Messalla, Lucio Lentulo consulibus / asses XV"
8171,85,"Nicopolis, futui te ego et Proculus et Fructus Holconi"
5187,86,Messius his nihil futuit
2246,86,hic ego cum veni futui deine redei domi
10085b,87,Phallus durus Crescentis: vastus
1938,88,"mentula tua iubet, amatur"
1405,88,"Pusina, multi te amant; te Anicetus mentula"
1940,90,Arescusa prusenter sumpsit sibi casta mutunium
950,90,"ubi me iuvat, asido"
7089,91,imanis mentula es
8879b,92,"eiacula, puber"
1939,93,"Pumpeis fuere quondam Vibii opulentissimi; non ideo tenuerunt in manu sceptrum pro mutunio, itidem quod tu faciatis cottidie in amnu penem tenes"
2066,94,"Moles multa mihi curae cum [pr]esserit artus, has ego mancinas, stagna refusa, dabo. "
5174,95,tu qui die digitos contrudis manus ...
8473,98,... matrenia culibonia
3951,98,"Restutus dicit: Restetuta pone tunica; rogo, redes pilosa cunnum"
7679,99,Marcellus Praenestinam amat et non curatur
3042,99,"crudelis, Lalage, quae non amas ..."
1645,111,si quis forte meam cupiet violare puellam / illum in desertis montibus urat Amor
10233,116,Hygino salutem Edone Piladi fellat
1516,119,"hic ego nunc futue formosam forma puellam / laudatam a multis, sed lutus intus erat"
1882,122,"accensum qui pedicat, urit mentulam"
2210,131,paedicare volo
2048,132,Secundus paedicavit pueros lugentes
3932,134,"hic Rufum carum ... dolete, puellae, paedico. cunne superbe vale"
8805,135,VII idus Septembres Quintus Postumius rogavit Aulum Attium paedicarem
2319b,137,"Vesbinus cinaedus, Vitalio paedicavit"
4917,137,Albanus cinaedus est
10232a,138,Lucius Habonius sauciat irrumat Caesonium Felicem
8841,138,"Martialis, fellas Proculum"
8512,139,"Ianuari, lingis mentula"
4246,139,qui me non mentula linget ...
1825,140,Cosmus Equitiaes magnus sinaedus et fellator est suris apertis
1825a,140,Narcissus fellator maximus
9027,140,Secundus fellator rarus
5408,146,Felix fellat assibus I
5048,147,Euplia fellat assibus V nummum
10004,147,Euplia laxa landicosa
3999,148,Glyco cunnum lingit assibus II
8940,148,"Maritimus cunnum linget assibus II, virgines ammittit"
5372,149,sum tua aere
2193,150,Arphocras hic cum Drauca bene futuit denario
1751,150,siquis his sederit legat hoc ante omnia: si quis futuere volet Atticen quaerat assibus XVI
10194a,151,"Marcus Pollius Pudes futuit cratis, si amabit Gemellam"